wav_filename,wav_filesize,transcript
common_voice_ar_19190491.wav,88364,كان بيل في اليابان
common_voice_ar_19190490.wav,126764,يمكنها ان تَعُدَّ من الواحد إلى العشرة
common_voice_ar_19190492.wav,79148,أبي مدرّس
common_voice_ar_19190493.wav,65324,استرح
common_voice_ar_19190495.wav,113708,العشب بحاجة إلى التجديب
common_voice_ar_19190496.wav,76844,لن أنساك أبداً
common_voice_ar_19190494.wav,75308,ترك الباب مفتوحاً
common_voice_ar_19190499.wav,79148,عليك البدء في الحال
common_voice_ar_19190498.wav,80684,هذا أصغر من ذاك
common_voice_ar_19190497.wav,92204,لا تقلق ، أنا هنا الآن
common_voice_ar_19190501.wav,96044,أنا سعيد لرؤيتك مجدداً
common_voice_ar_19190514.wav,80684,ليس مهماً
common_voice_ar_19190517.wav,71468,عددهم كبير
common_voice_ar_19190513.wav,99884,هل الحقيبة السوداء ملكك ؟
common_voice_ar_19190516.wav,92204,عليك أن تعمل بجهد أكبر
common_voice_ar_19190520.wav,94508,هذا الشبل من ذاك الأسد
common_voice_ar_19190518.wav,53804,أنا ولد
common_voice_ar_19190523.wav,115244,ما اسم تلك السمكة بالإنجليزية ؟
common_voice_ar_19190522.wav,80684,دمر الحريق المدينة
common_voice_ar_19190521.wav,119084,لم يشعل النار مع أن الجو كان بارداً
common_voice_ar_19190524.wav,84524,صرخ طالباً النجدة
common_voice_ar_19190525.wav,129068,أبريل هو موسم الضرائب في الولايات المتحدة
common_voice_ar_19190526.wav,88364,إنه لطيف جداً
common_voice_ar_19190532.wav,69164,أين المصرف ؟
common_voice_ar_19190533.wav,71468,و كيف لي أن أعرف ؟
common_voice_ar_19190534.wav,80684,ما من طريقة أخرى
common_voice_ar_19190537.wav,102188,إنك متعب ، أليس كذلك ؟
common_voice_ar_19190535.wav,99884,على الشرطة ألا تقبل الرشاوي
common_voice_ar_19190538.wav,99884,لديه الكثير من المال في البنك
common_voice_ar_19190539.wav,106028,كان ذلك أمله الوحيد و الأخير
common_voice_ar_19190540.wav,76844,هل تعرف من يكون ؟
common_voice_ar_19190541.wav,96044,أسبح مرةً في الأسبوع
common_voice_ar_19203349.wav,88364,سأحوّل مبلغ المال
common_voice_ar_19203347.wav,86828,لا تنس تذكرة الدخول
common_voice_ar_19203351.wav,92204,هذا كتاب جيد
common_voice_ar_19203348.wav,178988,بما أنك لديك حمى ، من الأفضل لك أن تبقى في المنزل
common_voice_ar_19206752.wav,90668,ألديك أقلام كثيرة ؟
common_voice_ar_19206753.wav,99884,أبدأ لن أشك في صدقه
common_voice_ar_19206754.wav,84524,الكل يوافقك الرأي
common_voice_ar_19206755.wav,88364,الليمون حامض
common_voice_ar_19206759.wav,65324,إنه ذكي
common_voice_ar_19206757.wav,86828,هاجمنا العدو ليلاً
common_voice_ar_19206756.wav,92204,أُفضل العمل وحدي
common_voice_ar_19206762.wav,63788,أين مكان عملك ؟
common_voice_ar_19206760.wav,69164,أسكن في أوساكا
common_voice_ar_19206761.wav,79148,هل بإمكانك السباحة ؟
common_voice_ar_19206763.wav,90668,هناك رجل غريب أمام المنزل
common_voice_ar_19206765.wav,73004,من رسم هذه اللوحة ؟
common_voice_ar_19206764.wav,59948,أخي أحمق
common_voice_ar_19206766.wav,76844,ستصاب بالبرد هكذا
common_voice_ar_19206767.wav,84524,إنها جميلة جداً
common_voice_ar_19206769.wav,76844,مريم ذات خلق
common_voice_ar_19206770.wav,90668,الشيطان هو الذي جعلني أفعل ذلك
common_voice_ar_19206771.wav,129068,سيذهب أستاذنا إلى الولايات المتحدة الشهر القادم
common_voice_ar_19206768.wav,88364,الموز مليء بالبوتاسيوم
common_voice_ar_19206772.wav,99884,السناجب سريعة الحركة
common_voice_ar_19206773.wav,90668,يأكلون بالشوكة و السكين
common_voice_ar_19206775.wav,61484,ألست سعيداً ؟
common_voice_ar_19206774.wav,84524,مج بطول كن
common_voice_ar_19206776.wav,119084,ما نوع الأكلات اليابانية التي تحبها ؟
common_voice_ar_19206779.wav,73004,كيف حالك يا مايك ؟
common_voice_ar_19206781.wav,103724,هل بإمكانك تكلم الإيطالية ؟
common_voice_ar_19206783.wav,96044,نهض من النوم في الساعة الثامنة صباحاً
common_voice_ar_19206786.wav,69164,نظف غرفتك
common_voice_ar_19206788.wav,63788,اجلس معي
common_voice_ar_19206787.wav,73004,أحب دراسة التاريخ
common_voice_ar_19206789.wav,76844,اختر مضربك المفضل
common_voice_ar_19206790.wav,67628,ذهب إلى المحل
common_voice_ar_19206797.wav,103724,أسرع و إلا ستتأخر عن المدرسة
common_voice_ar_19206798.wav,76844,هل تلعب كرة القدم ؟
common_voice_ar_19206800.wav,84524,خطر له فكرة جيدة
common_voice_ar_19206799.wav,82988,تظاهر بأنه محامٍ
common_voice_ar_19206807.wav,73004,نعم ، ذلك صحيح
common_voice_ar_19206809.wav,115244,آخذ آلة التصوير معي أينما ذهبت
common_voice_ar_19206813.wav,94508,مع من تظن أنها تسكن ؟
common_voice_ar_19206815.wav,76844,بيتك يحتاج لإصلاح
common_voice_ar_19206816.wav,76844,أليس معك بعض النقود ؟
common_voice_ar_19206818.wav,153644,لا يحزنك أنك فشلت ما دمت تحاول الوقوف على قدميك من جديد
common_voice_ar_19206819.wav,88364,عادة ما يقع الأطفال
common_voice_ar_19206817.wav,96044,أخذ الصغير يبكي طيلة الليل
common_voice_ar_19206820.wav,84524,خسرنا تلك المباراة
common_voice_ar_19209641.wav,86828,لا يعيش أحد في هذا المنزل
common_voice_ar_19209642.wav,86828,طلبت كتاباً من لندن
common_voice_ar_19209644.wav,73004,ساعدنا بعضنا
common_voice_ar_19210088.wav,99884,انصحك ان تتوقف عن التدخين
common_voice_ar_19210089.wav,59948,أدخله
common_voice_ar_19210092.wav,80684,سآخذ الأصفر
common_voice_ar_19210091.wav,106028,دائماً ما يلبس القمصان الزرقاء
common_voice_ar_19210110.wav,82988,أحضر لي شيئاً لآكله
common_voice_ar_19210093.wav,102188,أؤكد لك صحة هذه المعلومات
common_voice_ar_19210112.wav,75308,اتصلت به بالأمس
common_voice_ar_19210113.wav,84524,ادرس بجد و ستنجح
common_voice_ar_19210114.wav,99884,لقد اعطتني هدية رائعة
common_voice_ar_19210115.wav,152108,عملت لمدة أربعاً و عشرين ساعة من دون أن أنام
common_voice_ar_19210143.wav,82988,كيف تعرفت عليها ؟
common_voice_ar_19210144.wav,79148,اسمي وانج
common_voice_ar_19210145.wav,84524,لديه الكثير من المال
common_voice_ar_19210147.wav,125228,لا يمكنني إعطائك جواباً نهائياً اليوم
common_voice_ar_19210176.wav,92204,أفضل شرب القهوة على شرب الشاي
common_voice_ar_19210180.wav,71468,لم هو هنا ؟
common_voice_ar_19210178.wav,138284,أوقية من الحماية يستحق رطل من العلاج
common_voice_ar_19210182.wav,138284,أشار أن تنفيذ الخطة سيكلف الكثير من المال
common_voice_ar_19210185.wav,102188,ستنطلق الحافلة بعد خمس دقائق
common_voice_ar_19210204.wav,73004,الباقي عليك
common_voice_ar_19210205.wav,80684,ما معنى هذه الكلمة ؟
common_voice_ar_19210209.wav,76844,ماذا يوجد في الحقيبة ؟
common_voice_ar_19210211.wav,111404,هذه أكبر قطة رأيتها في حياتي
common_voice_ar_19210254.wav,84524,من الصعب ترجمة الشعر
common_voice_ar_19210253.wav,142124,يجب أن نذهب إلى هناك سواء أردنا ذلك أم لا
common_voice_ar_19210256.wav,176684,بالتأكيد هو أخطر الحيوانات المفترسة إنه يقتل من أجل المتعة
common_voice_ar_19210255.wav,125228,هل تريدني أن أستدعي لك سيارة أجرة ؟
common_voice_ar_19210258.wav,159788,نظرياً ، ما أقوم به متعلق بالرياضيات
common_voice_ar_19210288.wav,107564,السيد سميث مدرس محترم
common_voice_ar_19210289.wav,125228,كان عقابهم قاسيًا ولكنه عادل
common_voice_ar_19210291.wav,102188,اِرجع إلى البيت قبل السادسة
common_voice_ar_19210293.wav,111404,هناك الكثير من الكتب في غرفتي
common_voice_ar_19210314.wav,88364,عليّ العثور عليها
common_voice_ar_19210317.wav,75308,لا تنس التذكرة
common_voice_ar_19210315.wav,103724,لربما تركتها على الطاولة
common_voice_ar_19210319.wav,98348,اصطدمت سيارته بشجرة
common_voice_ar_19210352.wav,76844,أهذا واضح ؟
common_voice_ar_19210355.wav,71468,أحب الكعك أيضاً
common_voice_ar_19210358.wav,126764,اطيب التمنيات في هذا اليوم الرائع
common_voice_ar_19210363.wav,92204,اِشتريت زجاجتَي حليب
common_voice_ar_19210361.wav,129068,إنه يعمل في مجال صناعة السيارات
common_voice_ar_19210404.wav,106028,المستمعين انبهروا بكلامه
common_voice_ar_19210407.wav,92204,السكين ليست حادة
common_voice_ar_19210406.wav,184364,أما بالنسبة لملابسها ، فلم تكن لديه أفكار على الإطلاق
common_voice_ar_19217298.wav,96044,أعمل منذ السادسة صباحاً
common_voice_ar_19217297.wav,138284,أنا أعتقد أني بطريق الخطأ حذفت ذلك الملف
common_voice_ar_19217300.wav,82988,أتيت إلى هنا البارحة
common_voice_ar_19217299.wav,113708,لم يكن أندرو صريحًا في هذا الشأن
common_voice_ar_19217301.wav,107564,سأشاهد التلفاز هذا المساء
common_voice_ar_19217307.wav,119084,اشترى لنا عمّي جهاز تلفاز جديد
common_voice_ar_19217309.wav,111404,لا تحتقر إنساناً لأنه فقير
common_voice_ar_19217308.wav,86828,أنا عاطل عن العمل
common_voice_ar_19217310.wav,84524,هذه هي المسألة
common_voice_ar_19217311.wav,71468,ما عنوانك ؟
common_voice_ar_19217338.wav,73004,لم أحبه
common_voice_ar_19217339.wav,129068,علم اللغويات هو علم يتكلم في اللغات
common_voice_ar_19217341.wav,88364,لم تدرك خطأها
common_voice_ar_19217342.wav,79148,أحدهم يتصل بك
common_voice_ar_19217374.wav,84524,لديه سيارته الخاصة
common_voice_ar_19217373.wav,149804,مر الشهر ، وبقاء بونانزا كريك هادئا
common_voice_ar_19217375.wav,61484,ماذا عنك ؟
common_voice_ar_19217399.wav,76844,هل أنت متأكد ؟
common_voice_ar_19217396.wav,80684,أردت حذاء أحمر
common_voice_ar_19217376.wav,213548,عندما كانت طفلة صغيرة ، كانت قادرة على الغناء حتى قبل أن تتحدث
common_voice_ar_19217397.wav,122924,لم أذهب إلى المدرسة الشهر الفائت
common_voice_ar_19217403.wav,80684,انفجر غاضباً
common_voice_ar_19217410.wav,106028,تكلم الرجل بصوت خافت
common_voice_ar_19217408.wav,69164,أعلن حبه
common_voice_ar_19217412.wav,84524,لنعد أدراجنا
common_voice_ar_19217453.wav,86828,أتحتاج إلى الكتاب ؟
common_voice_ar_19217415.wav,86828,قعدنا في وسط الحجرة
common_voice_ar_19217452.wav,96044,تسلقت جبل فوجي مرتين
common_voice_ar_19217454.wav,103724,أيمكنني أن أركض معك ؟
common_voice_ar_19217455.wav,126764,توم و بيل يلعبان التنس كلاهما الآن
common_voice_ar_19217456.wav,76844,صرخت رعباً
common_voice_ar_19217461.wav,84524,هم في نفس السن
common_voice_ar_19217458.wav,84524,خربشني قط
common_voice_ar_19217465.wav,103724,سقطت الكثير من الأشجار
common_voice_ar_19217468.wav,134444,كنت أسبح كل يوم عندما كنت صغيراً
common_voice_ar_19217488.wav,61484,هل أنت في البيت ؟
common_voice_ar_19217487.wav,82988,كان يسكن بجانب عمه
common_voice_ar_19217489.wav,96044,يتفق الطرفان على الحل الوسط
common_voice_ar_19217491.wav,142124,استمر المطر بالهطول لمدة أربعة أيام
common_voice_ar_19217514.wav,76844,بالله عليك
common_voice_ar_19217490.wav,90668,هل تعرف كيف تلعب كرة القدم ؟
common_voice_ar_19217512.wav,84524,أتى الولد راكضاً
common_voice_ar_19217515.wav,115244,أنا آسف لكن ذلك مستحيل
common_voice_ar_19217517.wav,71468,قابلته البارحة
common_voice_ar_19217516.wav,76844,نظر إلى السماء
common_voice_ar_19217518.wav,167468,عليك التصرف بأدب أثناء غيابي ، أتسمع ما أقول ؟
common_voice_ar_19217520.wav,92204,إنه يتحسّن كل يوم
common_voice_ar_19217570.wav,71468,ما اسم صديقك ؟
common_voice_ar_19217571.wav,107564,اِشترت أمي مظلة صفراء لأخي
common_voice_ar_19217573.wav,63788,ألعب معه
common_voice_ar_19217522.wav,88364,لماذا تأخرت هذا الصباح ؟
common_voice_ar_19217572.wav,126764,لا إله إلا الله محمد رسول الله
common_voice_ar_19350344.wav,86828,ماذا تفعل ؟
common_voice_ar_19350345.wav,86828,أريد أن أنام
common_voice_ar_19350346.wav,111404,لم يستطع فهم الجملة
common_voice_ar_19350347.wav,149804,أقلعت عن التدخين منذ ستة أشهر
common_voice_ar_19350348.wav,109868,يُقال أن الحب أعمى
common_voice_ar_19350349.wav,115244,لدي مفاجأة لك
common_voice_ar_19350351.wav,96044,هي ليست طبيبة
common_voice_ar_19350353.wav,82988,أين سنأكل ؟
common_voice_ar_19350352.wav,188204,تساعد أمها كل صباح في المطبخ لإعداد الفطور
common_voice_ar_19350365.wav,125228,مهما قلت عنه ، اظن انه صادق
common_voice_ar_19350364.wav,130604,قال المعلم ان الارض كروية
common_voice_ar_19350366.wav,103724,بوب و توم إخوة
common_voice_ar_19350367.wav,109868,أراك الأسبوع القادم
common_voice_ar_19350379.wav,111404,اتقوا النار ولو بشق تمرة
common_voice_ar_19350380.wav,117548,أتحدث الإنجليزية كل يوم
common_voice_ar_19350394.wav,119084,تصبحين على خير يا أمي
common_voice_ar_19350396.wav,142124,لن يستطيع أن يدرس من شدة التعب
common_voice_ar_19350397.wav,165164,والآن ضع نفسك في مكاني للحظة
common_voice_ar_19350413.wav,94508,بالصحة و العافية
common_voice_ar_19350410.wav,161324,عليك أن لا تركض داخل مبنى المدرسة
common_voice_ar_19350415.wav,122924,هناك ستون ثانية في الدقيقة
common_voice_ar_19350418.wav,102188,لمن تلك السيارة ؟
common_voice_ar_19351171.wav,115244,اِرفع يدك اليمنى
common_voice_ar_19351174.wav,102188,القلعة جميلة
common_voice_ar_19351175.wav,132908,من المستحيل العيش بدون ماء
common_voice_ar_19351176.wav,102188,لن أُهزم
common_voice_ar_19351177.wav,109868,إنها من فرنسا
common_voice_ar_19351181.wav,132908,أهم شيء أن تهتم بما تأكله
common_voice_ar_19351180.wav,119084,إنها تتكلم كثيراً
common_voice_ar_19351182.wav,99884,لقد خسروا الكثير
common_voice_ar_19351183.wav,134444,ما زال لدينا الكثير من الوقت
common_voice_ar_19351187.wav,109868,هل نذهب عندى أم عندك ؟
common_voice_ar_19351186.wav,88364,استدر من فضلك
common_voice_ar_19351188.wav,122924,لديها القليل من الأصدقاء
common_voice_ar_19356232.wav,125228,إنها في اجتماع الآن
common_voice_ar_19356231.wav,149804,يتغيّر الجوّ من يوم إلى آخر
common_voice_ar_19356233.wav,102188,أكره مادة الكيمياء
common_voice_ar_19356234.wav,203564,آه لو كنت غنياً لاشتريت لنفسي بيتاً في إسبانيا
common_voice_ar_19361732.wav,109868,لا بد أنهم ينتظرونك
common_voice_ar_19361741.wav,92204,إنه طبيب
common_voice_ar_19361737.wav,119084,هل يمكنني التحدث مع المسؤول هنا ؟
common_voice_ar_19361743.wav,102188,كلبي مريض للغاية
common_voice_ar_19361745.wav,99884,أعطني رأيك من فضلك
common_voice_ar_19361752.wav,94508,يملك أبي مطعماً
common_voice_ar_19361754.wav,111404,إن ما قاله لا يجدي نفعاً
common_voice_ar_19361760.wav,125228,لم أحب علوم الأحياء أبداً
common_voice_ar_19361766.wav,188204,كان من طبيعتها أنها فتاة خجولة جداً
common_voice_ar_19361770.wav,84524,ليس موجوداً
common_voice_ar_19361773.wav,109868,ما مجال عمل خالتك ؟
common_voice_ar_19361786.wav,73004,نزرع القمح هنا
common_voice_ar_19361787.wav,92204,هل تعيش مع والدَيك ؟
common_voice_ar_19361790.wav,94508,توم لا يحب أكل الجبن
common_voice_ar_19361789.wav,102188,لا أفهم معنى هذه الكلمة
common_voice_ar_19361791.wav,96044,أخي يركب هذه الدراجة
common_voice_ar_19361795.wav,96044,هذه بطاقتي
common_voice_ar_19361792.wav,134444,حَيْنَ أكبر ، أُريد أن أصبِحَ ملِكًا
common_voice_ar_19361794.wav,103724,يوم ميلادك سعيد
common_voice_ar_19361801.wav,107564,أتمنّى أن تأتي مرّة أخرى
common_voice_ar_19361803.wav,94508,إنه يأكل تفاحة
common_voice_ar_19361804.wav,102188,كنت مشغولاً البارحة
common_voice_ar_19361814.wav,88364,أطع أباك دوماً
common_voice_ar_19366819.wav,118316,لغتنا الأم هي اليابانية
common_voice_ar_19366838.wav,101420,لا تتدخل
common_voice_ar_19366818.wav,169004,حصلت على علامة جيدة في مادة الإنجليزية
common_voice_ar_19366840.wav,108332,هل دفعت ثمن الكتاب ؟
common_voice_ar_19366842.wav,112172,دعني أفكر للحظة
common_voice_ar_19366841.wav,104492,لا تستعمل قلمي
common_voice_ar_19366856.wav,122156,الحمامة هي نوع من الطيور
common_voice_ar_19366857.wav,117548,هذه الكلمة لها معنيان
common_voice_ar_19366864.wav,103724,ما الذي تنوي فعله ؟
common_voice_ar_19366865.wav,131372,نأكل طعام الفطور في المطبخ
common_voice_ar_19366866.wav,99884,من ذاك الرجل ؟
common_voice_ar_19366875.wav,92972,أنت أحْسَنُ منّي
common_voice_ar_19366885.wav,103724,أطفئ الضوء من فضلك
common_voice_ar_19366867.wav,111404,لا يمكنني العيش من غيرك
common_voice_ar_19366886.wav,136748,هي و أصدقاءها يحبون الموسيقى
common_voice_ar_19366887.wav,132140,إنه يتكلم الروسية بطلاقة
common_voice_ar_19366893.wav,77612,أراك غداً
common_voice_ar_19366894.wav,166700,سنكتفي بهذا الحد اليوم و نقف هنا
common_voice_ar_19366897.wav,102956,سأعود بعد ساعة
common_voice_ar_19366904.wav,165932,لسببٍ ما ، أشعر أني نشيط أكثر في الليل
common_voice_ar_19366906.wav,154412,أتمنى لو أني عدت إلى شبابي مرة أخرى
common_voice_ar_19366920.wav,102956,من كتب هذه القصيدة ؟
common_voice_ar_19366907.wav,127532,ذهب براين مع كيت إلى المدرسة
common_voice_ar_19366925.wav,122924,قلة النوم مضر بصحتك
common_voice_ar_19370811.wav,86828,رأيت خمسة رجال
common_voice_ar_19366931.wav,125996,تركته لتكون مع رجل آخر
common_voice_ar_19370813.wav,109868,توقفت سيارة عند المدخل
common_voice_ar_19370814.wav,94508,ابتسمت أليس
common_voice_ar_19370815.wav,102188,لا بد أنه من الجنوب
common_voice_ar_19370818.wav,73004,عاد السفير
common_voice_ar_19370847.wav,76844,اِغسل يديك
common_voice_ar_19370848.wav,102188,نعم ، أظن ذلك أيضاً
common_voice_ar_19370849.wav,79148,هل تكلمني ؟
common_voice_ar_19370861.wav,84524,ماذا تتمنى ؟
common_voice_ar_19370860.wav,130604,قامت أمي بقياس حرارة جسدي
common_voice_ar_19370854.wav,257324,بناءً على الاتجاه الذي سار فيه ، أظن أنه كان متجهًا إلى البلدة
common_voice_ar_19370857.wav,84524,هل أنت غاضب ؟
common_voice_ar_19370866.wav,125228,أيمكنني أن أناديك بوب ؟
common_voice_ar_19370871.wav,86828,مشيت معه
common_voice_ar_19370873.wav,115244,في الدقيقة ستون ثانية
common_voice_ar_19370878.wav,102188,من فضلك اتركني وحدي
common_voice_ar_19370880.wav,86828,إسمع جيداً
common_voice_ar_19370883.wav,119084,هل لي أن أستعير سيارتك ؟
common_voice_ar_19370884.wav,92204,سأغادر المدرسة
common_voice_ar_19370885.wav,122924,أيمكنني اِستعارة قلمك ؟
common_voice_ar_19370887.wav,178988,بعضهم مدرّسون ، وبعضهم مهندسون
common_voice_ar_19370890.wav,126764,لمَ لا تجلس و تستريح ؟
common_voice_ar_19370892.wav,65324,إسألهم
common_voice_ar_19370894.wav,153644,إنها تحب البرتقال ، أليس كذلك ؟
common_voice_ar_19375642.wav,86828,خان ثقتي به
common_voice_ar_19375650.wav,103724,أنت تجهد نفسك في عملك
common_voice_ar_19375662.wav,113708,خرجت قطة من تحت المكتب
common_voice_ar_19375652.wav,117548,لمَ لا يمكنك المجيء ؟
common_voice_ar_19375663.wav,92204,الحاسوب جديد
common_voice_ar_19375659.wav,99884,حسناً إتّفقنا
common_voice_ar_19375667.wav,86828,انفجر غضباً
common_voice_ar_19375668.wav,94508,أحتاج إلى أن أدرس
common_voice_ar_19375672.wav,94508,عليّ الذهاب إلى النوم
common_voice_ar_19375666.wav,107564,ماتوا واحداً تلو الآخر
common_voice_ar_19375679.wav,73004,كيف حالك الآن ؟
common_voice_ar_19375686.wav,92204,من أين لك بالمال ؟
common_voice_ar_19375682.wav,142124,كنت متعباً فخلدت إلى النوم باكراً
common_voice_ar_19375688.wav,84524,يا لها من جملة
common_voice_ar_19375691.wav,84524,الآخرون على وصول
common_voice_ar_19375693.wav,84524,أين يعيش عمك ؟
common_voice_ar_19382240.wav,113708,طلبت منه أن يوصلني إلى المنزل
common_voice_ar_19382241.wav,84524,هل ستذهب مع توم ؟
common_voice_ar_19375695.wav,103724,شكراً جزيلاً لك يا دكتور
common_voice_ar_19382246.wav,79148,إنه قوي
common_voice_ar_19382242.wav,111404,واجِه الحياة بابتسامة
common_voice_ar_19382234.wav,96044,رتبت غرفتها بسرعة
common_voice_ar_19382253.wav,125228,أخفض صوت التلفاز
common_voice_ar_19382259.wav,132908,الأرنب لديه أذنان طويلتان
common_voice_ar_19382262.wav,218924,وبعد أن رفضنا بيع الطعام لنا ، تركونا لأنفسنا
common_voice_ar_19382266.wav,117548,سأعاود الإتصال بك
common_voice_ar_19382284.wav,130604,ألم يخطر لك أن تغلق النوافذ ؟
common_voice_ar_19382274.wav,88364,كيف تصل إلى المدرسة ؟
common_voice_ar_19382286.wav,109868,لا أستطيع العيش من دونك
common_voice_ar_19382285.wav,109868,عملت في المزرعة طوال اليوم
common_voice_ar_19216032.wav,152876,شك المحامي في براءته
common_voice_ar_19216034.wav,126764,إنتهى الوقت المخصص لك
common_voice_ar_19216035.wav,104492,جُرح في كتفه
common_voice_ar_19216036.wav,119084,دعني أساعدك في عملك
common_voice_ar_19216199.wav,102956,أزاحت غطاء الصندوق
common_voice_ar_19216197.wav,116780,لقد مات بطريقة مأساوية
common_voice_ar_19216202.wav,87596,ارفع يديك
common_voice_ar_19216203.wav,76076,هذا مفتاحك
common_voice_ar_19216205.wav,91436,يعتقد الكثيرون ذلك
common_voice_ar_19216261.wav,76076,إنتهى وقتك
common_voice_ar_19216263.wav,66092,متى سترجع ؟
common_voice_ar_19216265.wav,79916,يبدو أنه مريض
common_voice_ar_19216267.wav,86828,دائماً ما يصدق
common_voice_ar_19216536.wav,70700,من فضلك اجلس
common_voice_ar_19216537.wav,107564,أخبرني ألّا أقود بسرعة عالية
common_voice_ar_19216541.wav,101420,ستبدأ السنة الجديدة
common_voice_ar_19216538.wav,117548,شكراً ، من فضلك أعد الزيارة
common_voice_ar_19216545.wav,89900,أهنّئك بمناسبة نجاحك
common_voice_ar_19216543.wav,121388,في سعة الأخلاق كنوز الأرزاق
common_voice_ar_19216926.wav,97580,أَجْنِيْ مِئْةَ يُوْرَو فِيْ اليَوْم
common_voice_ar_19216927.wav,105260,أحبك و أريد أن أتزوجك
common_voice_ar_19216928.wav,107564,أخبرتُهُم أن يُرْسِلُوا لي تذِكرةً أُخرى
common_voice_ar_19216929.wav,89900,لا أشكّ لحظة في صدقك
common_voice_ar_19216930.wav,152876,إنها تتكلم الإنجليزية بطلاقة شديدة
common_voice_ar_19216931.wav,116780,لمَ لا نأكل طعام الغداء معاً ؟
common_voice_ar_19216932.wav,81452,مات عمي منذ سنة
common_voice_ar_19216933.wav,56108,أتأسف
common_voice_ar_19216934.wav,87596,هل تستطيع أن تقود سيارة ؟
common_voice_ar_19216954.wav,89900,افكاره تختلف عن افكاري
common_voice_ar_19216956.wav,96044,أجل ، ساعدني بوب
common_voice_ar_19216981.wav,102188,كل أصدقائي يحبون لعب كرة القدم
common_voice_ar_19216979.wav,150572,لو كان ذلك الكلام صحيحًا ، فسنقبل هذا الإستنتاج
common_voice_ar_19216982.wav,80684,تعافيت من المرض كلياً
common_voice_ar_19216985.wav,73772,لا إنجاز بلا جهد
common_voice_ar_19216984.wav,98348,دافعوا عن حق أمتهم
common_voice_ar_19216992.wav,73772,ما رأيك أن نتمشّى ؟
